vehicle_id,vehicle_type,route_sequence,km,total_load_kg,combustible_ars,mantenimiento_ars,variable_km_ars,peajes_ars,fijo_diario_ars,costo_total_ars
VEH-100,van,DEPOT -> P_ORD-SUC-1009 -> P_ORD-SUC-1015 -> D_ORD-SUC-1015 -> P_ORD-SUC-1028 -> D_ORD-SUC-1009 -> D_ORD-SUC-1028 -> DEPOT,1365.29,0,156033.14285714287,122876.09999999999,341322.5,2500.0,3000.0,625731.7428571428
VEH-101,truck_6t,DEPOT -> P_ORD-SUC-1025 -> P_ORD-SUC-1018 -> D_ORD-SUC-1018 -> D_ORD-SUC-1025 -> DEPOT,2111.63,0,460719.2727272727,190046.7,886884.6000000001,2500.0,6000.0,1546150.5727272728
VEH-102,van,DEPOT -> DEPOT,0.0,0,0.0,0.0,0.0,0.0,3000.0,3000.0
VEH-103,truck_12t,DEPOT -> P_ORD-SUC-1027 -> P_ORD-SUC-1008 -> P_ORD-SUC-1016 -> P_ORD-SUC-1017 -> P_ORD-SUC-1023 -> P_ORD-SUC-1014 -> P_ORD-SUC-1022 -> P_ORD-SUC-1005 -> P_ORD-SUC-1012 -> P_ORD-SUC-1021 -> P_ORD-SUC-1001 -> P_ORD-SUC-1024 -> P_ORD-SUC-1026 -> P_ORD-SUC-1019 -> D_ORD-SUC-1001 -> P_ORD-SUC-1000 -> D_ORD-SUC-1019 -> P_ORD-SUC-1004 -> D_ORD-SUC-1016 -> P_ORD-SUC-1010 -> D_ORD-SUC-1014 -> D_ORD-SUC-1027 -> P_ORD-SUC-1029 -> D_ORD-SUC-1004 -> P_ORD-SUC-1020 -> D_ORD-SUC-1023 -> D_ORD-SUC-1021 -> D_ORD-SUC-1000 -> D_ORD-SUC-1026 -> P_ORD-SUC-1011 -> P_ORD-SUC-1006 -> D_ORD-SUC-1005 -> D_ORD-SUC-1006 -> D_ORD-SUC-1010 -> D_ORD-SUC-1029 -> D_ORD-SUC-1008 -> D_ORD-SUC-1020 -> D_ORD-SUC-1024 -> D_ORD-SUC-1022 -> D_ORD-SUC-1011 -> D_ORD-SUC-1017 -> D_ORD-SUC-1012 -> DEPOT,2604.56,0,822492.6315789474,234410.4,1692964.0,2500.0,10000.0,2762367.0315789473
VEH-104,van,DEPOT -> P_ORD-SUC-1007 -> P_ORD-SUC-1013 -> D_ORD-SUC-1013 -> D_ORD-SUC-1007 -> DEPOT,2255.27,0,257745.14285714284,202974.3,563817.5,2500.0,3000.0,1030036.9428571428
VEH-105,van,DEPOT -> DEPOT,0.0,0,0.0,0.0,0.0,0.0,3000.0,3000.0
VEH-106,truck_12t,DEPOT -> P_ORD-SUC-1002 -> P_ORD-SUC-1003 -> D_ORD-SUC-1002 -> D_ORD-SUC-1003 -> DEPOT,2100.29,0,663249.4736842106,189026.1,1365188.5,2500.0,10000.0,2229964.0736842104
VEH-107,refrigerated_4t,DEPOT -> DEPOT,0.0,0,0.0,0.0,0.0,0.0,7600.0,7600.0
