sucursal,lat,lon
45 - TRELEW - TT,-43.258487,-65.3278613
179 - PUERTO MADRYN - TT,-42.775433,-65.0500569
48 - HIPER RIO GALLEGOS - TT,-51.62926,-69.2468262
161 - USHUAIA - TT,-54.814301,-68.3255839
142 - RIO GRANDE,-53.785669,-67.7031827
180 - RIO GRANDE - TT,-53.774213,-67.7208531
"950 - CD, E.ECHEVERRIA",-34.744832,-58.5025525
953 - E.ECHEVERRIA - TT,-34.744832,-58.5025525
143 - RIO GALLEGOS - TT,-51.622959,-69.2131913
201 - CARAPACHAY - TT,-34.527662,-58.5357624
512 - PILAR - TT,-34.454828,-58.9109016
253 - OLIVOSTanti - TT,-34.504363,-58.4932239
252 - ACASSUSO - TT,-34.476534,-58.497781
202 - MARTINEZ Florida - TT,-34.48109,-58.552537
209 - MARTINEZ Libertador - TT,-34.490468,-58.4852445
203 - CHILAVERT - TT,-34.541419,-58.5631907
165 - PUERTO MADRYN - TT,-42.766635,-65.0352967
516_COSME BECCAR - TT,-34.470777,-58.5142887
208_CAMPANA - TT,-34.162817,-58.9654309
215-SCALABRINI ORTIZ - TT,-34.580059,-58.4116861
254_DIEGO CARMAN,-34.495186,-58.5458314
277 - SCALABRINI ORTIZ - TT,-34.589225,-58.4226859
258 - Villa Pueyrredon Av. Mosconi - TT,-34.586037,-58.5017788
151 - Uriburu - TT,-34.609573,-58.3986425
189 - Av Corrientes Ex Home - TT,-34.603674,-58.38313
381 - Super Av. Cordoba 2529 - TT,-34.598894,-58.4028028
116 - Avenida Av. Sta. Fe - TT,-34.596467,-58.3959336
510 - Super Av. Diaz Velez y Medrano - TT,-34.608654,-58.4223104
237 - Villa Del Parque - TT,-34.601961,-58.4889364
515 - Super Av. Francisco Beiro 5204 - TT,-34.613353,-58.5233384
389 - Super Av. Santa Fe 5234 - TT,-34.576267,-58.4339672
519 - Super Lacroze 3117 - TT,-34.577049,-58.4491754
198 - Cabildo Nuñez - TT,-34.5522,-58.4676826
195 - Olazabal - TT,-34.574792,-58.4820941
182 - Juramento Cramer - TT,-34.564959,-58.4617925
109 - La Plata Express - TT,-34.913911,-57.9524383
144 - La Plata II - TT,-34.923159,-57.9498875
262 - Parana J. M. Paz - TT,-31.741572,-60.5411799
263 - Parana Coronel Diaz - TT,-31.754098,-60.5114186
125 - Parana Tia - TT,-31.730339,-60.5283165
249 - Parana America - TT,-31.74851,-60.5240466
266 - Parana Don Bosco - TT,-31.733213,-60.5086827
264 - Parana Mexico - TT,-31.725685,-60.534507
181 - Parana Parque - TT,-31.722902,-60.5290997
110 - Corrientes Express - TT,-27.467469,-58.8335466
141 - Formosa - TT,-26.181841,-58.1657624
119 - Rio IV - TT,-33.125898,-64.3496919
191 - Mar del Plata - TT,-38.000661,-57.5479639
130 - Mar del Plata Express - TT,-37.998699,-57.5541115
146 - Trelew - TT,-43.251361,-65.3101954
148 - 9 de Julio - TT,-34.607849,-58.3805752
120 - Belgrano (Cabildo y Monroe) - TT,-34.558177,-58.4585886
295 - Granaderos - TT,-31.374405,-64.2137951
137 - San Luis - TT,-33.303461,-66.3364792
