Categoria,Identificador,Nombre,Latitud,Longitud,Domicilio,CD ORIGEN,Turnos,RUTA,FORMATO,DIAS SUGERIDO,VIAJES,TRANSPORTE
AMBA,198,198 - Cabildo Nuñez - TT,-34.5522,"-58,4676826",CABILDO NRO 3190,E.Echeverria,primera_ventana,Zona_08_BSAS_Capital_11,Market,LXV,,
AMBA,195,195 - Olazabal - TT,-34.574792,"-58,4820941",AV. OLAZABAL NRO 4734,E.Echeverria,primera_ventana,Zona_08_BSAS_Capital_8,Market,LXV,,
AMBA,182,182 - Juramento Cramer - TT,-34.564959,"-58,4617925",JURAMENTO NRO 2971,E.Echeverria,primera_ventana,Zona_05_BSAS_Capital_5,Market,LXV,,
AMBA,109,109 - La Plata Express - TT,-34.913911,"-57,9524383",CALLE 7 - 767,E.Echeverria,primera_ventana,Zona_06_BSAS_GBA_Sur,Market,LMXJV,,
AMBA,144,144 - La Plata II - TT,-34.923159,"-57,9498875",CALLE 12 NRO 1200,E.Echeverria,primera_ventana,Zona_06_BSAS_GBA_Sur,Market,LMXJV,,
Interior,262,262 - Parana J. M. Paz - TT,-31.741572,"-60,5411799",GENERAL GALAN NRO 1887,E.Echeverria,primera_ventana,Zona_19_Interior_Parana,Market,LX,,
Interior,263,263 - Parana Coronel Diaz - TT,-31.754098,"-60,5114186",SANTOS DOMINGUEZ NRO 618,E.Echeverria,primera_ventana,Zona_19_Interior_Parana,Market,LX,,
Interior,125,125 - Parana Tia - TT,-31.730339,"-60,5283165",URUGUAY - 35,E.Echeverria,primera_ventana,Zona_19_Interior_Parana,Market,MJ,,
Interior,249,249 - Parana America - TT,-31.74851,"-60,5240466",AV.AMERICAS - 1731,E.Echeverria,primera_ventana,Zona_19_Interior_Parana,Market,LX,,
Interior,266,266 - Parana Don Bosco - TT,-31.733213,"-60,5086827",DON BOSCO Y SUIPACHA SN,Munro,primera_ventana,Zona_19_Interior_Parana,Maxi,LX,,
Interior,264,264 - Parana Mexico - TT,-31.725685,"-60,534507",MEXICO Y TUCUMAN,E.Echeverria,primera_ventana,Zona_19_Interior_Parana,Market,MJ,,
Interior,181,181 - Parana Parque - TT,-31.722902,"-60,5290997",SANTA FE NRO 606 ESQ.MALVINAS,E.Echeverria,primera_ventana,Zona_19_Interior_Parana,Market,MJ,,
Interior,110,110 - Corrientes Express - TT,-27.467469,"-58,8335466",JUNIN - 1336,E.Echeverria,primera_ventana,Zona_05_Interior_Chaco_Corrientes_Formosa,Market,LV,,
Interior,141,141 - Formosa - TT,-26.181841,"-58,1657624",ESPANA NRO 160,E.Echeverria,primera_ventana,Zona_05_Interior_Chaco_Corrientes_Formosa,Market,MV,,
Interior,119,119 - Rio IV - TT,-33.125898,"-64,3496919",SOBREMONTE - 902,E.Echeverria,primera_ventana,Zona_04_Interior_RioIV_SanLuis,Market,LJ,,
Interior,191,191 - Mar del Plata - TT,-38.000661,"-57,5479639",CORDOBA NRO 1830,E.Echeverria,primera_ventana,Zona_01_Interior_MarDelPlata_Tandil_Balcarce,Market,LXV,,
Interior,130,130 - Mar del Plata Express - TT,-37.998699,"-57,5541115",CATAMARCA - 1965,E.Echeverria,primera_ventana,Zona_01_Interior_MarDelPlata_Tandil_Balcarce,Market,LXV,,
Interior,146,146 - Trelew - TT,-43.251361,"-65,3101954",RIVADAVIA ESQ. 9 DE JULIO,E.Echeverria,primera_ventana,Zona_15_Interior_Trelew_PuertoMadryn,Market,MJ,,
AMBA,148,148 - 9 de Julio - TT,-34.607849,"-58,3805752",AV. RIVADAVIA NRO 999,E.Echeverria,primera_ventana,Zona_05_BSAS_Capital_5,Market,LXV,,
